user_utterance,therapist_utterance,label
"네, 또한 제가 해야 하는 일들을 제대로 하지 못하고 있는 자신을 보면서 자책감도 크게 느껴져요.","내담자님은 현재 부담과 미래에 대한 불확실성, 그리고 스스로에 대한 엄격한 평가로 인해 상당히 어렵고 힘든 시간을 보내고 계시군요.",Complex Reflection
"맞아요, 그리고 그 때문에 저는 무엇부터 해야 할지도 모르겠어요.",내담자님은 현재 과제의 시작점을 찾는 것 자체가 큰 도전이 되고 있군요.,Complex Reflection
저는 이 상황을 어떻게 개선해야 할지에 대한 구체적인 방법을 찾지 못하고 있어요.,이 상황을 개선하기 위해 시도해 보고 싶은 방법이나 생각해 본 전략이 있나요?,Open Question
"사실, 솔직히 말하자면 변화에 대한 구체적인 방법이나 전략은 아직 명확하지 않아요.",이 상황에서 어떤 부분이 가장 우선적으로 해결하고 싶은 것인지 궁금해요.,Open Question
제가 조금이라도 일상에서 성취감을 느낄 수 있는 작은 목표를 세우고 싶어요.,일상에서 성취감을 느낄 수 있는 작은 목표를 세우고 싶으시군요.,Simple Reflection
"네, 저는 그 작은 목표들을 통해 조금씩 변화를 느끼고 싶어요.",조금씩 변화를 느끼고 싶은 마음이 있으시군요.,Simple Reflection
그 마음을 바탕으로 실제로 목표를 달성하기 위해 노력해보고 싶어요.,그 목표를 달성하기 위해 어떤 작은 노력을 시작으로 생각하고 계신가요?,Open Question
"하루에 30분씩 책을 읽거나, 작은 공부 계획을 세워 실천해보려고 합니다.",하루에 30분씩 책을 읽거나 작은 공부 계획을 세워 실천해보고 싶으시군요.,Simple Reflection
"네, 그렇게 시작해보려고 해요.",그렇게 시작하려는 생각이 있으시군요.,Simple Reflection
"다른 사람들과 만난 후에 제 자신을 많이 자책하고, 후회하는 감정이 많이 들어요.",다른 사람들과의 만남 후 생기는 그런 감정의 경험은 내담자님을 더 깊게 이해하게 해주는 시간이 되었겠군요.,Complex Reflection
"네, 그런데 이 자책감과 후회가 저를 많이 힘들게 해요.",그 감정들이 내담자님 내면에서 어떤 영향을 미치고 있나요?,Open Question
"항상 기분이 가라앉고, 쉽게 위축돼서 자신감을 잃게 해요.",이런 감정이 내담자님의 자신감에 부정적인 영향을 주고 있네요.,Complex Reflection
"네, 그래서 저는 이 감정을 극복하고 싶어요.",자신감을 잃게 만드는 이 감정들을 극복하기 위해 어떤 방법을 생각해 보셨나요?,Open Question
사실 약물 치료와 함께 심리 치료를 받는 방법을 고민하고 있어요.,"약물 치료와 심리 치료에 대해 고민하신다니, 이 문제를 해결하기 위한 방법을 찾으려는 내담자님의 입장을 이해하게 되었습니다.",Complex Reflection
"하지만 약에 대한 두려움이 있어서, 어떻게 시작해야 할지 막막해요.",약물 치료와 심리 치료 외에도 고려해보신 다른 대안이 있으신가요?,Open Question
정신 건강에 좋다는 활동을 더 많이 하려고 해요.,정신 건강을 위한 활동에 더 많이 참여하기로 결정한 것은 긍정적인 방향을 모색하는 과정일 겁니다.,Complex Reflection
많이 지치고 하루하루가 버겁게 느껴져요.,감정이 힘들 때마다 그것을 견디는 건 쉽지 않죠.,Simple Reflection
"네, 정말 그렇습니다. 때로는 너무 힘들어서 포기하고 싶어지기도 해요.",포기하고 싶을 정도로 스트레스를 많이 받고 계시는군요.,Complex Reflection
"네, 스트레스가 많이 쌓여 있어요.",스트레스가 상당히 누적되어 있으신 것 같군요.,Complex Reflection
"네, 상황이 이렇게 되기까지 정말 많은 일들이 있었습니다.",그동안 겪으신 일들로 인해 쌓인 스트레스가 큰 부담이 되고 있다는 것을 알 수 있습니다.,Complex Reflection
그렇게 많은 일을 겪으며 버텨내려고 애써왔는데도 결국엔 힘들어서 포기하고 싶은 마음이 커져버렸어요.,"내담자님께서는 엄청난 어려움을 겪으며 헤쳐 나오려 애쓰셨음에도 불구하고, 지금은 더 이상 견디기 어려운 지경에 이르렀군요.",Complex Reflection
"네, 더 이상의 힘을 내기가 쉽지 않은 상황입니다.",끝까지 버티려 노력해오신 힘든 과정에서 지금은 움직이기조차 버거워 하시는군요.,Complex Reflection
"네, 제가 정말 그런 상황에 처해 있어요.",그러한 상황 속에서 특별히 기억에 남는 일이 있으신가요?,Open Question
전세 사기를 당하면서 시작된 일련의 사건들이 계속해서 마음을 무겁게 하고 있어요.,전세 사기를 당하신 일로 시작된 일련의 사건들이 마음에 큰 짐이 되고 계시군요.,Simple Reflection
"네, 그 짐이 점점 무거워져서 지금은 숨 쉬기조차 힘들 정도예요.",마음이 많이 무거우시겠군요. 숨 쉬기조차 힘든 정도로 부담이 크시다니 정말 어려운 상황이십니다.,Complex Reflection
요새 사람들과 어울릴 때 기분이 좋지 않은 경우가 많아요.,그러셨군요. 사람들과 어울리는 것이 예전과 달라진 게 있나 봅니다.,General
"네, 사람들과 있을 때 더이상 에너지를 느끼지 못하는 것 같아요.",사람들과 있을 때 예전만큼의 에너지를 받지 못하시는군요.,Complex Reflection
"네, 그런데 그게 제가 어떻게 해야 할지 모르겠어요.",사람들과 어울릴 때 에너지를 찾지 못하는 현재 상황에 대해 해결 방법을 찾고 싶어하시는군요.,Complex Reflection
"네, 해결 방법을 찾고 싶어요.",그래서 해결 방법을 찾는 과정에 있으시군요.,General
"맞아요, 어떤 방법이 좋을지 고민 중입니다.",고민 중인 상황 속에서도 앞으로 나아가려는 노력이 느껴집니다.,Affirm
이 상황을 개선하기 위해 제가 먼저 해볼 수 있는 작은 시도들을 생각해보고 싶어요.,상황을 개선하기 위해 스스로 시도해볼 수 있는 방법들을 고민하고 계시군요.,Simple Reflection
"네, 사람들과 함께 할 때 좀 더 자신감 있고 편안하게 느끼기 위한 방법을 찾아보고 싶습니다.",자신감 있고 편안함을 찾기 위해 방법을 모색하고 계시는군요.,Simple Reflection
"""제가 아무것도 제대로 해내고 있지 못한다는 생각이 자주 들어요.""",그런 생각이 드는 순간이 많으셨겠어요.,Simple Reflection
"""네, 특히 학교나 학원을 갈 때 그런 생각이 많이 들어요.""",학교와 학원에서 더욱 자신에 대한 의심이 커지시는 것 같습니다.,Complex Reflection
"""그렇습니다. 거기에 있으면 저만 뒤처지는 것 같아요.""",자신이 남들보다 부족하다고 느끼시는 상황이 상당히 부담스러우시군요.,Complex Reflection
"""네, 부담스러워서 최근에는 학원을 거의 가지 않고 있어요.""",학원에 거의 가지 않게 됐다고 하시군요.,Simple Reflection
"""네, 에너지가 없고, 저 자신에 대한 믿음도 없어서요.""","에너지가 부족하고 자신에 대한 믿음이 없을 때, 어떤 것들이 조금이라도 위안이 되시나요?",Open Question
"""친구들과 어울릴 때 잠시나마 괜찮다고 느껴요.""",친구들과 시간을 보낼 때 잠시나마 안정을 찾으시는군요.,Simple Reflection
"""네, 그런데 혼자 있으면 다시 불안하고 우울해져요.""",혼자 있을 때는 불안과 우울함이 다시 찾아오시는 것 같군요.,Complex Reflection
"""맞아요, 그래서 가능하면 사람들과 함께 있는 시간을 늘리고 싶어요.""","그렇다면 사람들과 더 많이 어울리고 싶을 때, 어떤 활동들을 해보고 싶으신가요?",Open Question
"""소모임이나 동아리 활동에 참여해보고 싶어요.""",소모임이나 동아리 활동을 통해 새로운 사람들과의 교류를 원하시는군요.,Complex Reflection
"안녕하세요, 저는 최근 불안장애 진단을 받고 제 상황과 증상 관리 방법에 대해 어떻게 해야 할지 조언을 구하고자 합니다.",불안장애 진단을 받고 관리 방법에 대해 고민하고 계시는군요.,Simple Reflection
"네, 특히 제가 중요한 시험을 앞두고 있어서 신체 증상들이 심해질까봐 걱정입니다.",이전에 비슷한 상황에서도 신체 증상이 심해졌었나요?,Closed Question
"아니요, 이 정도로 심각하게 느껴진 적은 처음입니다.",불안을 느끼실 때 특정 활동이나 생각이 도움이 되었나요?,Closed Question
사실 그동안은 그냥 꾹 참고 넘기려고만 했어요.,그동안은 참고 넘기려고만 하셨군요.,Simple Reflection
"네, 하지만 이제는 다르게 대처해보고 싶어요.",다르게 대처해 보고 싶으시군요.,Simple Reflection
다른 방법으로 불안을 관리할 수 있는 방법을 알아보고 싶어요.,불안을 관리하기 위한 다양한 방법을 탐색하고 싶으신 마음이시군요.,Simple Reflection
"네, 특히 약을 최소한으로 사용하면서 상태를 개선할 수 있는 방법을 찾고 싶어요.",약물 사용을 최소화하면서 상태 개선을 위한 방법을 찾고자 하시는군요.,Simple Reflection
제가 전에 다니던 직장을 안 좋게 그만두고 난 이후로 감정을 제대로 컨트롤하지 못하고 있어요.,이전 직장과의 경험이 지금의 감정 상태에 큰 영향을 미치고 있는 것 같네요.,Complex Reflection
"네, 거기서부터 모든 게 어긋나기 시작한 것 같아요.",그 경험 이후로 어떤 방식으로 감정을 다루려고 시도해 보셨나요?,Open Question
"주로 혼자 생각하며 시간을 보냈지만, 그게 도움이 되지 않는 것 같아요.","혼자 생각하는 시간도 중요하지만, 때로는 그것이 충분하지 않을 수도 있죠.",General
"맞아요, 그래서 저도 이제 다른 방법을 찾아보고 싶어요.",자신의 상황을 개선하고자 하는 의지를 보여주셨네요. 용기 있는 결정입니다.,Affirm
"제가 어떤 방법으로 나아갈 수 있을지 막막하지만, 앞으로 나아가 보고 싶어요.",어떤 방법이나 활동이 내담자님에게는 의미 있게 느껴질까요?,Open Question
"아마 취미 활동을 찾아보거나, 운동을 시작해 나아갈 방법을 모색해볼까 합니다.",자신을 위한 새로운 활동을 찾으려는 시도가 인상적입니다.,Affirm
"감사합니다, 이런 활동들을 통해 저의 생활에 긍정적인 변화를 가져오고 싶어요.",어떤 취미나 운동이 내담자님에게 흥미롭게 느껴지나요?,Open Question
사실 사진 찍는 것에 관심이 많았어요.,"사진 찍기에 관심을 가지고 있다니, 그것이 좋은 시작이 될 수 있을 것입니다.",General
사실 직장 생활의 압박감이 마음을 많이 차지하고 있어요.,일에 대한 부담이 상당히 큰 것 같군요.,Complex Reflection
"네, 일이 처음이라 모든 게 두렵고, 실수할까 봐 걱정이 많아요.","실수에 대한 걱정이 이렇게 클 때, 어떻게 이 감정을 다루시는지 알고 싶어요.",Open Question
"대부분의 시간을 걱정하며 보내고, 그로 인해 제대로 된 휴식도 취하지 못하고 있어요.",실수에 대한 두려움이 휴식마저도 힘들게 하고 있군요.,Complex Reflection
정확히 말씀하셨어요. 두려움이 저를 지배하고 있는 것 같아요.,두려움으로 인해 삶의 여러 영역에서 어려움을 겪고 계시네요.,Complex Reflection
"네, 걱정이 너무 커서 일상 생활에도 집중하기 어렵습니다.",그런 상황에서 내담자님이 원하는 일상은 어떤 모습인가요?,Open Question
제가 더 자신감을 가지고 일상과 일에 임할 수 있었으면 좋겠어요.,일상과 일에서 자신감을 회복하고자 하는 마음이 인상적입니다.,Affirm
저도 그런 저를 볼 수 있게 노력하고 싶어요.,자신감을 회복하기 위해 어떤 첫 걸음을 내디딜 준비가 되셨나요?,Open Question
부담을 조금이라도 줄이기 위해 작은 목표부터 설정하고 실천해보려고 합니다.,작은 목표부터 설정하고 실천해볼 계획이시군요.,Simple Reflection
"네, 그렇게 하면 조금은 나아질 것 같습니다.",압박감 속에서도 자신에게 맞는 방법을 찾으려는 노력이 인상 깊습니다.,Affirm
감사합니다. 제가 할 수 있는 범위 안에서 차근차근 해나가보려고요.,이번에 설정하신 작은 목표에 대해 좀 더 구체적으로 이야기해주실 수 있나요?,Open Question
"일단, 매일 작은 일이라도 한 가지씩 성취감을 느낄 수 있는 일을 정해보려고 합니다.",매일 작은 성취를 통해 자신감을 찾아가고자 하는 접근이 효과적일 수 있겠군요.,Complex Reflection
"네, 작은 성공을 통해 저 자신에게 긍정적인 메시지를 주고 싶어요.",작은 성공을 통한 긍정적인 메시지가 자신감 회복에 큰 도움이 될 것입니다.,Affirm
굉장히 힘든 사건이 있었어요. 제가 가깝게 지냈던 친구들과의 관계에서 상처를 받았거든요.,그런 경험은 정말 쉽지 않았을 거예요.,Simple Reflection
"네, 정말 그랬어요. 처음엔 괜찮다고 생각했었는데, 시간이 지나면서 더 힘들어지기 시작했어요.",그 과정에서 어떤 감정들을 느끼셨나요?,Open Question
절망적이고 외롭게 느꼈어요. 상황이 이렇게 될 줄은 몰랐거든요.,절망과 외로움을 통해 상황이 예상과 다르게 전개되어 당황스러우셨군요.,Complex Reflection
"네, 정말 그렇습니다. 예상치 못했던 반응들로 인해 많이 당황하고 상처받았어요.",어떤 방식으로 이 상황들을 다뤄 나가고 싶으신가요?,Open Question
저를 다시 일으켜 세울 수 있는 방법을 찾고 싶어요.,상처를 극복하고자 하는 내담자님의 용기가 돋보입니다.,Affirm
말씀해주신 것처럼 저도 제 자신을 위한 첫 걸음을 내딛고 싶어요.,자신을 위해 나아가고자 하는 마음을 갖는 것이 중요하군요.,Complex Reflection
그렇게 생각이 드는 요즘입니다.,그 감정을 받아들이고 이해하는 과정이 내담자님에게 중요한 단계가 될 수 있겠어요.,General
"대학 복학을 앞두고 있는데, 제가 왜 이렇게 일에만 몰두하게 되는지, 그리고 그로 인해 중요한 걸 놓치고 있는 것 같아서요.",일에 몰두하다 보니 중요한 것들을 놓치는 상황이 고민이 되시는군요.,Complex Reflection
"네, 특히 지금 만나고 있는 남자친구와의 관계도 소홀히 하게 되고, 제 건강도 신경 쓰지 않게 되는 것 같아요.",남자친구와의 관계와 자신의 건강까지 소홀히 하게 되면서 현재의 우선순위에 대해 다시 생각해보게 되셨군요.,Complex Reflection
"그렇습니다. 무엇이 정말 중요한지, 제가 무엇을 우선시해야 할지 고민이 많아요.",현재 상황에서 무엇을 가장 우선시하고 싶은지 공유해주실 수 있나요?,Open Question
건강과 대인관계를 더 중요하게 여기고 싶어요.,그렇다면 건강과 대인관계를 중요하게 여기게 된 계기가 무엇인지 들을 수 있을까요?,Open Question
휴학하면서 일과의 관계에서 벗어나 잠시 동안 모든 것을 멈추고 보니 제 건강과 사람들과의 관계가 얼마나 소중한지 깨달았어요.,일과의 관계에서 벗어나 모든 것을 멈추고 보니 건강과 사람들과의 관계의 소중함을 깨닫게 되셨군요.,Simple Reflection
"네, 그리고 그 경험을 바탕으로 가치관이 조금 변하기 시작했어요.",그 경험을 통해 어떻게 가치관이 변하기 시작했는지 설명해주실 수 있나요?,Open Question
저는 제가 왜 이렇게 일에 몰두하게 되었는지 이유를 깨닫기 시작했어요.,"일에 몰두하게 된 이유를 깨달으셨다니, 그 이유가 무엇이었는지 알려주실 수 있나요?",Open Question
저는 뭔가를 성취했을 때만 가치가 있다고 느꼈어요.,"성취를 통해서만 가치를 느끼게 되셨다니, 그것이 현재 생각하는 중요한 가치들과 어떻게 맞물려 있는지 생각하게 되셨겠군요.",Complex Reflection
"안녕하세요, 사실은 제 소꿉친구와의 관계 때문에 마음이 무겁습니다.",그 사이의 관계가 소중하게 여겨지는군요.,Complex Reflection
"네, 정말 중요한 친구입니다.",그 중요한 친구와의 관계에서 어떤 점이 가장 신경이 쓰이시나요?,Open Question
문서 작업을 할 때마다 제 능력에 대해 혼나는 것과 제 자신감이 낮아진다는 점입니다.,문서 작업을 할 때 혼나게 되면 자신감이 낮아지시는군요.,Simple Reflection
"네, 그리고 저는 제가 너무 의지하고 있다고 느끼기도 합니다.",내담자님은 친구에게 의지하고 있는 부분이 본인 스스로에게 부담감을 주고 있는 것 같네요.,Complex Reflection
"맞아요, 그 부분 때문에 더 큰 스트레스를 받는 것 같습니다.",친구에게 의존함으로써 받는 스트레스가 내담자님에게 큰 무게로 다가오고 있네요.,Complex Reflection
"네, 정말 그렇습니다.",이 상황에서 스트레스를 줄이고자 어떤 방법을 고려하고 계신가요?,Open Question
문서 작업을 좀 더 잘하려고 개인적으로 연습해봐야겠다고 생각하고 있습니다.,능력을 향상시키기 위해 개인적으로 연습을 고려하고 계시는군요.,Simple Reflection
"네, 지금부터라도 조금씩이라도 개선해 나가고 싶습니다.",문서 작업 능력을 향상시키고자 할 때 어떤 연습 방법을 생각하고 계신지 궁금해요.,Open Question
온라인 강의를 찾아볼 생각입니다.,온라인 강의를 통한 학습을 고려하시는군요.,Simple Reflection
저는 항상 제 일과 개인 생활에 뒤처지고 있다는 생각이 마음을 많이 차지하고 있어요.,그런 생각이 본인에게 많은 부담을 주고 있겠군요.,Complex Reflection
"네, 정말로 부담되고요, 스트레스도 많이 받습니다.",스트레스도 많이 받고 부담감을 느끼고 계시군요.,Simple Reflection
그래서 저는 제 스스로 할 수 있는 일조차 제대로 마무리하지 못하고 있다는 생각에 자꾸만 좌절감을 느낍니다.,할 수 있는 일조차 마무리하지 못한다고 느끼며 좌절감을 경험하고 계시군요.,Simple Reflection
"네, 그리고 이런 이유로 자신감도 많이 떨어졌어요.",자신감이 떨어지고 있다고 느끼시는군요.,Simple Reflection
"네, 저는 사실 자신감을 다시 찾고 싶어요.",자신감을 다시 찾고 싶으시군요.,Simple Reflection
그렇게 해서 일의 관리와 개인적인 시간 관리에도 개선이 있었으면 좋겠어요.,일 관리와 개인적인 시간 관리에 개선을 원하시는군요.,Simple Reflection
"네, 제 생활 전반에 걸쳐 변화를 주고 싶습니다.",변화를 위해 생활 전반을 개선하고자 하는 의지가 높으시네요.,Affirm
정말 그렇게 하고 싶어요.,자신의 삶에서 긍정적인 변화를 추구하고자 하는 강한 의지를 가지고 계시네요.,Affirm
"네, 그래서 조심스럽게 이 변화를 실행에 옮길 수 있는 첫 걸음을 내디딜 준비가 되었습니다.",변화를 향한 준비가 되셨군요.,Simple Reflection
"네, 저는 곧 해외로 가는 학생인데요, 불안과 긴장감 때문에 마음이 매우 어렵습니다.",해외 생활을 앞두고 있는 상황이 내담자님을 불안하게 만들고 있군요.,Complex Reflection
"네, 맞아요. 이제 해외로 가기까지 2주 정도 남았는데, 대중교통을 이용할 때나 예기치 못한 상황에서의 불안, 긴장감이 점점 심해지고 있어요.",새 환경에 적응해야 한다는 생각에 따른 불안과 긴장이 점점 커지고 있음을 느끼고 계시는군요.,Complex Reflection
그렇습니다. 공황발작이 오거나 예기불안 때문에 미래에 대한 걱정이 큽니다.,불안과 긴장이 커질 때 어떤 방식으로 대처하시나요?,Open Question
"주로 항불안제와 항우울제를 복용하고 있어요. 그리고 상황이 나아지려고 노력은 하고 있지만, 막상 긴장감과 불안감이 찾아오면 대처하기가 어렵습니다.",어떤 상황에서 불안과 긴장감이 가장 심해지시나요?,Open Question
"대중교통을 이용할 때나, 새로운 상황에 직면했을 때 가장 불안하고 긴장됩니다.","새롭고 예측할 수 없는 상황에서 특히 대중교통을 사용할 때, 불안과 긴장감이 가중되고 있음을 알게 되었습니다.",Complex Reflection
"네, 거기에다가 해외에서 공황발작이 올까 봐 걱정이 되기도 합니다.","이제 곧 새로운 환경으로의 변화가 불안과 긴장을 더욱 커지게 만들며, 특히 공황발작에 대한 우려가 크시군요.",Complex Reflection
"네, 해외 생활에 대한 기대도 있지만, 동시에 이런 건강 문제들로 인해 어떻게 대처해야 할지 매우 걱정됩니다.",해외에서 불안과 긴장을 느끼게 되었을 때 어떤 지원이나 도움이 가장 필요하다고 생각하시나요?,Open Question
현지에서 접근 가능한 정신건강 지원 서비스가 있으면 조금 더 안심이 될 것 같아요.,해당 서비스에 대한 정보를 이미 알아보셨나요?,Closed Question
아직 구체적으로 알아보지는 못했습니다.,정신건강 지원 서비스에 대한 정보를 모색하려는 이행 단계에 계시군요.,Complex Reflection
"네, 그 정보를 찾아보는게 도움이 될 것 같아요.",안전망을 구축할 방법을 찾으려는 내담자님의 의지가 보입니다.,Affirm
이 정보를 적극적으로 찾아보면 해외 생활에 대한 불안을 좀 더 잘 관리할 수 있을 것 같습니다.,해외 생활을 시작하면서 불안을 관리하기 위한 다른 방법들에 대해서도 생각해보셨나요?,Open Question
"아직 구체적으로 생각해본 방법은 없지만, 불안을 줄일 수 있는 호흡법이나 명상 같은 자연스러운 방법들을 시도해볼 생각입니다.",불안을 줄이는 데 있어 자연스러운 방법을 시도해보고자 하는 접근은 중요한 발걸음이 될 수 있겠군요.,Complex Reflection
불안장애 때문에 다시 일상으로 돌아가기가 정말 어렵습니다.,그런 경험을 하셨을 때 많이 힘드셨겠어요.,Simple Reflection
"네, 정말 힘들었습니다.",불안을 경험하실 때 어떤 방식으로 대처하시나요?,Open Question
대부분 시간이 지나면 괜찮아질 거라고 스스로를 다독이려고 합니다.,내담자님께서 자신을 돌보려는 방법을 찾으셨군요.,Affirm
그래도 종종 제 자신이 통제가 안 될 것 같은 느낌이 들 때가 있어요.,그런 순간에도 스스로를 돌보려는 노력이 중요합니다.,General
"맞아요, 그래서 조금이라도 나아지려고 노력하고 있습니다.",노력하고 계시는군요.,Simple Reflection
이번에 군대를 가지 못하게 되면서 불안이 다시 심해졌습니다.,계획에 차질이 생겼을 때 불안함이 커지는 건 자연스러운 반응입니다.,Complex Reflection
"네, 그래서 일상으로 돌아가려는 시도조차 버겁게 느껴집니다.",일상으로 돌아가기가 버겁게 느껴지신다고 하셨군요.,Simple Reflection
제 상황을 조금 더 잘 관리할 수 있는 방법을 찾고 싶어요.,상황을 더 잘 관리하고자 하는 의지를 가지고 계시군요.,Affirm
"그렇습니다, 더 나은 방향으로 나아갈 수 있게 도움을 받고 싶어요.","도움을 받아 더 나은 방향으로 나아가고자 하는 의지가 있으신 것, 정말 중요한 걸음이라고 생각합니다.",Affirm
"저도 그렇게 생각합니다, 그래서 이 문제를 극복하기 위해 첫걸음을 내디뎠어요.","내담자님께서 스스로 문제를 인식하고 극복을 위한 길을 찾으려 하시는 것, 참으로 용기 있는 일입니다.",Affirm
"사실, 최근에는 큰 도전을 피하고 있는 편이에요.",도전을 피하는 것도 때로는 스스로를 보호하는 방법일 수 있습니다.,General
그 말씀을 듣고 보니 조금 마음이 놓이네요.,어떤 부분에서 스스로를 보호하고자 하셨나요?,Open Question
회사와 가족 문제로 인해 스스로를 보호하고자 했어요.,비슷한 문제로 고민하시는 분들이 많습니다.,General
이런 상황이 흔하다니 놀랍네요.,회사와 가족 문제를 어떻게 다루고 계시는지 알려주실 수 있으신가요?,Open Question
"회사 문제로는 이직을 고려하고 있고, 가족과는 4년간 연락을 하지 않고 있어요.",이직을 고민하고 있는 상황과 가족과의 멀어짐이 내담자님께 큰 무게로 다가오고 있는 것 같습니다.,Complex Reflection
"네, 정말 그렇습니다.","변화를 위한 방향을 찾고 계시고, 그 과정에서 상당한 깊이의 고민이 있는 것 같습니다.",Complex Reflection
"맞아요, 막연히 변화를 꿈꾸기는 하지만 실제로 첫발을 떼는 게 어렵습니다.",이직과 가족 문제에 대해 어떤 해결 방안을 고려해 보셨나요?,Open Question
"이직에 대해서는 자격증 공부나 새로운 기술을 배워보려고 생각 중이고, 가족과의 관계는 어떻게 다가가야 할지 아직 명확한 계획이 없습니다.",가족과의 관계 회복에서 무엇이 중요하다고 생각하시나요?,Open Question
접근할 수 있는 방법을 찾는 것과 용기를 내는 것이 중요하다고 생각해요.,"내담자님께서는 가족과의 관계를 회복하는 것에 대해 신중히 접근하려 하고 있으며, 그 과정에서 용기가 필요하다고 느끼시는군요.",Complex Reflection
"네, 용기 내어 첫 발을 내딛기에 앞서 고민의 무게가 크게 느껴집니다.",회사 문제와 가족 문제에서 내담자님께 가장 우선시하는 것은 무엇인가요?,Open Question
회사 문제를 먼저 해결하는 것이 우선이에요.,회사 문제 해결을 위해 어떤 첫 단계를 고려하고 계신지 궁금합니다.,Open Question
자세한 직무 분석과 자신이 갖추어야 할 스킬셋을 확인하는 것부터 시작할까 합니다.,내담자님께서는 현 상황을 분석하고 목표를 향해 나아가기 위한 구체적인 계획을 세우시는군요.,Affirm
저는 그림을 그리는 게 정말 좋아요. 그런데 어릴 때부터 가족이 그걸 반대했어요. 그래서 지금도 하고 싶은데 말을 못 하겠어요.,가족의 반대 속에서도 그림 그리기에 대한 열정이 여전히 강하군요.,Complex Reflection
"네, 정말로요. 그래서 조금씩이라도 능력이 닿는 대로 시도하고 있어요.","내담자님의 창작 욕구가 가족의 반대를 뛰어넘어 여전히 살아있는데, 이를 실천해보려는 의지도 보이시는군요.",Complex Reflection
"맞아요, 하지만 가족에게 이 사실을 털어놓지 못하는 것이 스트레스로 작용하고 있어요.",가족에게 이 사실을 어떻게 털어놓고 싶은지 생각해보셨나요?,Open Question
"정말로 고민이 많이 되는데, 어떻게 시작해야 할지 아직 잘 모르겠어요.","마음속에서는 가족과 소통하고 싶은 갈망이 있는데, 그 첫걸음을 어떻게 내딛어야 할지에 대한 확신이 서지 않는 상태로군요.",Complex Reflection
"네, 정확해요. 어떤 방식으로 접근해야 그들도 받아들일 수 있을지 고민입니다.",내담자님이 가족과의 대화를 시작하기 위한 방법을 찾는 과정에서 무엇이 가장 효과적일지 심사숙고하고 계시는군요.,Complex Reflection
"네, 그 과정이 매우 어렵게 느껴져요.",가족과의 대화를 이끌어내기 위해 어떤 점을 가장 중요하게 생각하시나요?,Open Question
그들이 제게 화를 내거나 실망하지 않도록 조심스럽게 접근하는 걸 중요하게 생각해요.,"내담자님은 가족의 반응을 세심하게 고려하면서도, 그들과의 대화를 추구하는 부드러우면서도 조심스러운 방법을 모색하고 계시는군요.",Complex Reflection
"네, 그리고 그 과정에서 저의 진정한 감정과 열정을 이해받고 싶어요.",어떻게 하면 가족이 내담자님의 감정과 열정을 이해할 수 있을지 생각해보셨나요?,Open Question
아직 구체적인 방법까지는 생각해보지 못했어요.,그 과정에서 어떤 어려움이나 고민이 가장 크신가요?,Open Question
가장 큰 어려움은 가족이 저를 이해하지 못할까 봐 두려운 거예요.,내담자님은 표현의 욕구가 있음에도 가족의 이해를 얻지 못할까 하는 두려움에 직면해 계시는군요.,Complex Reflection
"네, 그 두려움이 저를 막고 있어요.",내담자님의 마음속 깊은 곳에 있는 창조적 열정을 가족과 공유하고자 하는 욕구와 그 과정에서 느끼는 두려움이 공존하고 있군요.,Complex Reflection
"그렇습니다, 이 두려움을 어떻게 극복할 수 있을지가 지금 제게 가장 큰 숙제인 것 같아요.",어떤 방식이라면 이 두려움을 극복하는 데 도움이 될 수 있을까요?,Open Question
이 두려움을 극복하기 위해서는 먼저 작은 성공 사례를 가족에게 보여줄 수 있어야 할 것 같아요.,그 작은 성공 사례를 어떻게 구성하고 싶으신가요?,Open Question
제가 그린 작품이 사람들에게 긍정적인 반응을 얻었다는 걸 보여주고 싶어요.,"내담자님의 작품이 긍정적인 반응을 얻었다는 점을 가족에게 보여줌으로써, 내담자님의 열정과 능력에 대한 인정을 구하고자 하시는군요.",Complex Reflection
사실 최근에 어떤 사람과의 일 때문에 많이 힘들어요.,그런 상황에서는 마음이 많이 무거울 수 있겠어요.,Complex Reflection
"네, 그 사람 때문에 받은 상처가 아직도 많이 아파요.",그 사람 때문에 받은 상처가 아직도 아프시군요.,Simple Reflection
"그 사람이 저에 대해 어떻게 생각하는지, 제가 받은 상처를 이해하고 있는지 궁금해요.","그 사람이 어떻게 생각하는지, 상처를 이해하고 있는지 궁금하시군요.",Simple Reflection
"네, 그리고 그 사람이 내가 힘들어하는 것에 대해 진심으로 미안해하는지 알고 싶어요.",그 사람이 진심으로 미안해하고 있는지 알고 싶으시군요.,Simple Reflection
"네, 저를 상처 주었던 사람들에게 어떤 감정을 가져야 할지 잘 모르겠어요.",상처 주었던 사람들에 대한 감정을 어떻게 정리해야 할지 혼란스러우시군요.,Complex Reflection
"네, 정확해요. 그리고 이제 어떻게 다음 단계로 나아갈 수 있을지 고민되네요.",상처 주었던 사람들에 대한 감정 정리와 함께 다음 단계로 나아가는 방향을 찾는 것에 고민이 많으시군요.,Complex Reflection
"맞아요, 그 과정에서 어떤 변화를 추구해야 할지 막막합니다.",변화를 추구하는 과정에서 막막함을 느끼고 계시군요.,Simple Reflection
